gene_id,pd,r,p.value,qvalue,delta_RPP,contrast,gene_name,gene_biotype
ENSG00000100097,0.00361073322808039,-0.0165307773814378,0.339724338116255,0.529788542681212,-0.00209891126321371,Fip2 v.s. NC,LGALS1,protein_coding
ENSG00000100104,0.171328519438354,0.176205609048658,0.12124561252756,0.091120823170142,0.125093185909737,Fip2 v.s. NC,SRRD,protein_coding
ENSG00000100105,0.0703507489952503,0.0798835165959059,0.61177098002647,0.87377714625172,0.0703507489952504,Fip2 v.s. NC,PATZ1,protein_coding
ENSG00000100106,0.0821773064064336,-0.038043402627094,0.628325702273404,0.941587107051035,0.00441232944790826,Fip2 v.s. NC,TRIOBP,protein_coding
ENSG00000100129,0.00674098410651578,0.0260985195854437,0.258608798516694,0.380576717796527,0.00674098410651575,Fip2 v.s. NC,EIF3L,protein_coding
ENSG00000100138,0.0210449198089543,0.0261889819085943,0.213976950332058,0.571253669491859,0.0210449198089543,Fip2 v.s. NC,SNU13,protein_coding
ENSG00000100142,0.015355528484989,0.064823535329479,0.0293324571150073,0.00627474266074854,0.00776108138976955,Fip2 v.s. NC,POLR2F,protein_coding
ENSG00000100154,0.149189093956536,0.113153142457368,0.420248150397722,0.57569867918928,0.114759733027787,Fip2 v.s. NC,TTC28,protein_coding
ENSG00000100162,0.0349836333878887,0.00844806421492275,0.659479452946894,1,0.003666451604589,Fip2 v.s. NC,CENPM,protein_coding
ENSG00000100196,0.0373065938782021,0.00643852057619039,0.302685943469349,0.370232240823731,-0.00184708140280143,Fip2 v.s. NC,KDELR3,protein_coding
ENSG00000100201,0.000124868082912403,-6.85675588530343e-05,0.999999999999983,1,-1.01212240763981e-05,Fip2 v.s. NC,DDX17,protein_coding
ENSG00000100209,0.147014309805007,-0.17829036590667,0.356631758758168,0.494390904108057,-0.147014309805007,Fip2 v.s. NC,HSCB,protein_coding
ENSG00000100216,0.0116321008785305,-0.00335739096995777,0.559538932585999,0.808566663019854,-0.00209235838580901,Fip2 v.s. NC,TOMM22,protein_coding
ENSG00000100219,0.0206396311093662,-0.0427612969825021,0.508911015306869,0.78153316967951,-0.0206396311093662,Fip2 v.s. NC,XBP1,protein_coding
ENSG00000100221,0.0732638211497135,0.112131981305078,0.131176532388015,0.110430506640137,0.0732638211497136,Fip2 v.s. NC,JOSD1,protein_coding
